"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API","Add, edit, delete items in cart","","0","0","3","0","0"
"UI","Smoke home page tests","","0","2","12","0","0"
"API","Check shipping price","","0","0","1","0","0"
"API","Smoke cart tests","","0","0","6","0","0"
"UI","Smoke women skirts&skorts tests","","0","1","0","0","0"
"API","Check the price of product in catalog and in bag","","0","0","1","0","0"
"UI","Extensions","","0","0","5","0","0"
"UI","Check shipping price","","0","0","1","0","0"
"UI","Check the price of product in catalog and in bag","","0","0","1","0","0"
"UI","Add, edit, delete items in cart","","0","0","3","0","0"
